Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O08393|HEM1_NOSS1	O08393	HEM1_NOSS1	hemA	428	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamyl-tRNA reductase 	3:Protein inferred from homology	15.42	1	0.999	7	7	7	7	7	7	33213890	33213890	33213890	7C(57.0214), 8K(304.2071), N-term(304.2071)	NA	NA	110471.7314	599633.3359	1754184.7812	1245677.7266	552297.0312	586313.2246	436419.2549	1154765.2207	309124.2334	287112.5391	178003.4629	158730.71	97006.7754	99147.4348	138151.3784	192324.0723	160221.8682	232279.8857
sp|O52749|TSAE_NOSS1	O52749	TSAE_NOSS1	hetY	162	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE 	3:Protein inferred from homology	22.84	1	0.999	3	3	3	3	3	3	2346437	2346437	2346437	18K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	75175.3438	328003.3047	616370.2734	532046.7812	294135.4961	195006.1816	84448.2646	113749.627	51274.3989	52504.9209	38923.7729	35090.0049	31650.5708	26355.5742	45505.0327	69728.6333	63495.9863	136500.583
sp|O52750|GNGF_NOSS1	O52750	GNGF_NOSS1	alr2298	456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Putative gluconeogenesis factor 	3:Protein inferred from homology	6.36	1	0.999	3	3	3	3	3	3	4173821	4173821	4173821	10K(304.2071), 7K(304.2071), N-term(304.2071)	NA	NA	75277.5391	317785.8594	921749.2031	613035.9531	364311.4531	258390.8203	117224.3477	177457.9609	74153.3008	76545.9414	69580.0137	63024.8428	65881.2344	56243.0215	60997.4082	80635.3828	74797.8047	120437.2383
sp|O52751|RUVC_NOSS1	O52751	RUVC_NOSS1	ruvC	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Crossover junction endodeoxyribonuclease RuvC 	3:Protein inferred from homology	11.66	1	0.999	2	2	2	2	2	2	7373291	7373291	7373291	N-term(304.2071)	NA	NA	120613.2891	533326.3281	1312188.4375	939268.2188	314992.5938	207602.8828	102423.7383	180615.6562	76172.4414	74551.0918	60868.7227	56551.6465	51081.6035	29715.77	53674.873	61393.083	52820.5176	72381.5918
sp|O86418|RBCX_NOSS1	O86418	RBCX_NOSS1	rbcX	132	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	RuBisCO chaperone RbcX 	1:Experimental evidence at protein level	12.88	1	0.999	2	2	2	3	3	3	755409	755409	755409	9K(304.2071), N-term(304.2071)	NA	NA	69709.7188	301483.375	307791.125	152654.4844	74282.5547	50953.1094	19577.5469	31787.6719	33826.2852	38081.8984	22253.4727	19836.9297	21700.1758	17723.1211	119778.1719	424813.2188	159450.2812	108172.875
sp|P00457|NIFH1_NOSS1	P00457	NIFH1_NOSS1	nifH	295	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase iron protein 1 	3:Protein inferred from homology	42.03	1	0.999	12	5	12	34	12	34	82184964	69440066	82184964	11M(15.9949), 12M(15.9949), 13C(57.0214), 14M(15.9949), 1C(57.0214), 1K(304.2071), 2M(15.9949), 5M(15.9949), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	873762.6567	6862927.7549	11364725.252	6981238	3370534.5586	2244942.9341	926713.7151	1463207.2129	678586.8586	612326.7952	347846.7314	422481.1367	390396.1138	542642.959	516166.6233	821976.6106	766861.8909	1245345.8237
sp|P00468|NIFK_NOSS1	P00468	NIFK_NOSS1	nifK	512	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase molybdenum-iron protein beta chain 	3:Protein inferred from homology	34.18	1	0.999	16	16	16	33	33	33	43703573	43703573	43703573	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 2M(15.9949), 6M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	375931.9441	3044261.2266	7417324.5586	7641698.5508	7239045.7656	6390794.752	1529267.333	1356480.71	367677.7236	336647.5272	233554.2488	213906.1509	225105.4233	134068.2144	221566.304	322414.1443	239144.783	408553.7422
sp|P00879|RBL_NOSS1	P00879	RBL_NOSS1	rbcL	476	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase large chain 	1:Experimental evidence at protein level	53.78	1	0.999	30	30	30	450	450	450	11692242816	11692242816	11692242816	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 19K(304.2071), 22K(304.2071), 2M(15.9949), 4K(304.2071), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	7425282.3123	26357616.5403	91905568.7158	120024704.707	76708176.4363	51894900.5303	104348212.0996	471125366.5559	2888787271.1377	1788776736.8677	273593479.6665	142983767.8767	87530991.73	84624780.3687	119361628.0789	159538136.4512	115835100.6106	120571533.1877
sp|P00964|GLN1B_NOSS1	P00964	GLN1B_NOSS1	glnA	474	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamine synthetase 	1:Experimental evidence at protein level	43.46	1	0.999	18	18	18	181	181	181	1905702592	1905702592	1905702592	12K(304.2071), 15M(15.9949), 17C(57.0214), 17K(304.2071), 1C(57.0214), 24K(304.2071), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)	NA	NA	5988558.3665	15509130.7329	21374331.7656	15874581.166	10332654.7949	8185328.6941	5342273.5691	24858214.5767	42622237.6466	470188785.4119	681539062.1716	150986909.5347	40119186.3779	17123057.2529	14448198.8413	15169141.2729	8446198.6323	7289756.687
sp|P05514|DBH_NOSS1	P05514	DBH_NOSS1	hanA	94	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	DNA-binding protein HU 	1:Experimental evidence at protein level	62.77	1	0.999	5	5	5	28	28	28	452373920	452373920	452373920	10K(304.2071), 1M(15.9949), 22K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	25655137.1328	59359442.2461	28166437.1211	10655422.0371	3361922.4727	1978052.4189	844002.3711	1355036.4226	378537.9932	442361.978	302067.0425	277080.8915	335082.7996	366015.8911	386061.979	855253.3403	522769.9919	593860.8752
