Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O08393|HEM1_NOSS1	O08393	HEM1_NOSS1	hemA	428	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamyl-tRNA reductase 	3:Protein inferred from homology	15.65	1	0.999	7	7	7	7	7	7	14655799	14655799	14655799	7C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	57003.353	405767.8945	1068081.3594	1144441.7734	540783.6992	262004.3945	189465.332	127832.0381	69839.4502	71938.1084	44242.5266	60126.1414	60178.7886	64198.6562	46893.9868	92124.4756	95423.7856	103769.0918
sp|O30461|HYPA_NOSS1	O30461	HYPA_NOSS1	hupA	113	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Hydrogenase maturation factor HypA 	3:Protein inferred from homology	6.19	1	0.999	1	1	1	1	1	1	401315	401315	401315	7K(304.2071), N-term(304.2071)	NA	NA	10463.5654	118801.6484	114067.9375	78294.2109	29625.7715	22083.8945	11604.9775	5262.5273	4095.697	3753.7068	2287.04	5277.0513	2262.7446	2074.2593	3243.1167	4116.436	4078.0503	3985.156
sp|O52749|TSAE_NOSS1	O52749	TSAE_NOSS1	hetY	162	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE 	3:Protein inferred from homology	6.17	1	0.999	1	1	1	1	1	1	5058930	5058930	5058930	N-term(304.2071)	NA	NA	9890.2148	88795.0625	194966.9062	286975.6562	193728.8438	111287.4766	68969.9844	30933.918	14316.8662	9597.79	5058.7983	9252.9688	7049.3076	9752.0781	10495.5166	13849.2529	18720.9121	30583.0586
sp|O52750|GNGF_NOSS1	O52750	GNGF_NOSS1	alr2298	456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Putative gluconeogenesis factor 	3:Protein inferred from homology	6.14	1	0.999	2	2	2	2	2	2	     0	     0	     0	N-term(304.2071)	NA	NA	102776.9531	144465.875	122704.9375	150277.2812	252558.6094	210985.0938	160184.9219	123355.3906	66905.4141	69292.6406	51218.5664	63328.5234	66580.3203	54257.3359	64018.4336	70810.7812	69211.7031	84261.75
sp|O52751|RUVC_NOSS1	O52751	RUVC_NOSS1	ruvC	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Crossover junction endodeoxyribonuclease RuvC 	3:Protein inferred from homology	5.52	1	0.999	1	1	1	1	1	1	4768786	4768786	4768786	N-term(304.2071)	NA	NA	33885.8281	285982.2812	371843.5938	355748.5312	193697.6406	114100.2188	88488.2344	72602.6953	46482.7461	96714.3516	25085.8809	49913.7188	24664.8105	23137.9258	22225.0664	27070.666	26983.7969	41624.7383
sp|O86418|RBCX_NOSS1	O86418	RBCX_NOSS1	rbcX	132	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	RuBisCO chaperone RbcX 	1:Experimental evidence at protein level	21.21	1	0.999	3	3	3	3	3	3	2943499	2943499	2943499	8M(15.9949), 9K(304.2071), N-term(304.2071)	NA	NA	42655.3906	459769.8438	257758.7422	148085.5742	35951.7744	28914.751	24313.9785	31585.1152	37092.9502	51608.0391	14531.0229	14571.0315	12800.0581	18400.0469	14281.8218	95466.8359	82532.6016	44551.7021
sp|P00457|NIFH1_NOSS1	P00457	NIFH1_NOSS1	nifH	295	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase iron protein 1 	3:Protein inferred from homology	35.25	1	0.999	9	4	9	23	8	23	59209852	59209852	59209852	11M(15.9949), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2M(15.9949), 5M(15.9949), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	529079.9839	6431026.1953	8885481.7227	7527670.3281	3998875.5996	2604945.1211	2208646.0234	998498.0322	568164.3813	577227.5464	434210.0461	450889.8271	356791.4053	418174.0332	518702.5361	707488.7285	833397.7671	1215404.2676
sp|P00468|NIFK_NOSS1	P00468	NIFK_NOSS1	nifK	512	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase molybdenum-iron protein beta chain 	3:Protein inferred from homology	22.07	1	0.999	10	10	10	11	11	11	21062929	21062929	21062929	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 2M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	295747.7285	2270635.6875	4581608.5938	4999469.2461	4495171.1133	4951273.875	3059779.8047	1052326.3115	422949.1082	280126.708	163134.5427	206194.2607	204903.0525	208964.8081	204495.9028	256605.7104	242608.6875	445138.4414
sp|P00879|RBL_NOSS1	P00879	RBL_NOSS1	rbcL	476	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase large chain 	1:Experimental evidence at protein level	57.35	1	0.999	33	33	33	536	536	536	11055701248	11055701248	11055701248	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 19K(304.2071), 2M(15.9949), 3K(304.2071), 4K(304.2071), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7K(304.2071), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	4997616.356	37284130.8264	104661367.8699	207805531.4033	158153625.5986	113252225.8127	131263360.468	219521757.2751	2575052301.3438	4444268296.1675	846075284.8467	420771130.1919	285160536.804	240932837.4813	281273054.4255	376579518.1194	307531915.4644	238512438.9126
sp|P00964|GLN1B_NOSS1	P00964	GLN1B_NOSS1	glnA	474	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamine synthetase 	1:Experimental evidence at protein level	39.66	1	0.999	17	17	17	176	176	176	3260205568	3260205568	3260205568	11C(57.0214), 12K(304.2071), 15M(15.9949), 17C(57.0214), 17K(304.2071), 1C(57.0214), 24K(304.2071), 2K(304.2071), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)	NA	NA	3787078.0901	21371647.0938	20146330.564	21694128.7673	14147008.7078	11452683.1804	11034797.6716	15487400.3188	75620452.3203	308662821.5	1694539370.5522	780349465.6206	127267496.2075	50452306.1423	25516141.968	17390207.8545	9468723.3694	8155772.7949
