Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O08393|HEM1_NOSS1	O08393	HEM1_NOSS1	hemA	428	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamyl-tRNA reductase 	3:Protein inferred from homology	12.38	1	0.999	6	6	6	7	7	7	14028496	14028496	14028496	7C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	230808.5566	2143669.6875	3963475.0195	1729400.1914	641400.3145	422229.4424	217191.5708	187661.6821	116649.6826	136717.606	161939.5203	89462.2834	105628.1055	98873.7148	175085.3018	211968.2322	231556.9131	764268.7969
sp|O30461|HYPA_NOSS1	O30461	HYPA_NOSS1	hupA	113	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Hydrogenase maturation factor HypA 	3:Protein inferred from homology	6.19	1	0.999	1	1	1	1	1	1	     0	     0	     0	7K(304.2071), N-term(304.2071)	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|O52749|TSAE_NOSS1	O52749	TSAE_NOSS1	hetY	162	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE 	3:Protein inferred from homology	6.17	1	0.999	1	1	1	1	1	1	1706820	1706820	1706820	N-term(304.2071)	NA	NA	10322.3525	56924.5469	100750.5234	74719.6094	29557.0547	23000.5	15210.2402	9459.4893	7539.2188	4778.8423	4879.8276	6697.1865	5752.9531	6542.5854	5679.0352	13262.8359	9901.1074	22065.6719
sp|O52750|GNGF_NOSS1	O52750	GNGF_NOSS1	alr2298	456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Putative gluconeogenesis factor 	3:Protein inferred from homology	3.51	1	0.999	2	2	2	2	2	2	2886060	2886060	2886060	7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	382146.875	423309.875	221696.6406	208130.5625	158523.4531	121702.1094	80532.3281	71557.2578	58990.4648	51917.6055	53719.9883	54290.8086	51154.0391	59413.043	67176.4062	62452.3242	69755.5312	143132.0156
sp|O52751|RUVC_NOSS1	O52751	RUVC_NOSS1	ruvC	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Crossover junction endodeoxyribonuclease RuvC 	3:Protein inferred from homology	5.52	1	0.999	1	1	1	1	1	1	9662614	9662614	9662614	N-term(304.2071)	NA	NA	136491.9531	498492.6562	590481.9375	380281.0938	240741.2812	240702.8438	113955.7734	272282.6875	137643.2656	160881.1094	149243.4688	103784.7266	104189.4141	73888.0547	204515.4844	108100.7188	99571.5234	188057.8906
sp|O86418|RBCX_NOSS1	O86418	RBCX_NOSS1	rbcX	132	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	RuBisCO chaperone RbcX 	1:Experimental evidence at protein level	21.21	1	0.999	3	3	3	5	5	5	1988147	1988147	1988147	8M(15.9949), 9K(304.2071), N-term(304.2071)	NA	NA	165120.7266	658776.1562	332884.7969	120106.584	53482.8623	41623.6777	46640.4253	63728.0098	36042.8516	37104.8242	32855.5151	23072.8311	29044.2725	79875.4746	180831.3555	88067.9685	67333.9565	82168.6323
sp|P00457|NIFH1_NOSS1	P00457	NIFH1_NOSS1	nifH	295	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase iron protein 1 	3:Protein inferred from homology	36.27	1	0.999	9	4	9	24	9	24	23272306	17245259	23272306	11M(15.9949), 12M(15.9949), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2M(15.9949), 5M(15.9949), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	649830.7305	3516422.9316	3792366.0352	1822253.0098000001	860740.9131	683008.8496	700489.6631	274163.7314	160869.7798	169831.5732	229116.4985	172038.3518	160450.6423	322780.9949	299866.5789	361254.9197	433351.4941	1340145.0234
sp|P00468|NIFK_NOSS1	P00468	NIFK_NOSS1	nifK	512	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase molybdenum-iron protein beta chain 	3:Protein inferred from homology	21.48	1	0.999	11	11	11	15	15	15	22557740	22557740	22557740	10K(304.2071), 11K(304.2071), 13K(304.2071), 2M(15.9949), 6M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	316323.3936	2207025.6484	2670970.3984	1796044.6562	1430573.8984	924422.4883	318197.3203	192304.9597	103037.2456	132432.0552	188335.1902	83758.0186	66136.8992	56645.2434	128992.6899	120407.9492	113427.5132	519339.3848
sp|P00879|RBL_NOSS1	P00879	RBL_NOSS1	rbcL	476	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase large chain 	1:Experimental evidence at protein level	52.73	1	0.999	29	29	29	517	517	517	13528848128	13528848128	13528848128	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 2M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	23795462.6521	132362094.6992	344620254.0913	295158004.9126	149893646.8232	132735748.0894	274443558.1467	1946811583.2075	5203888076.478	1548818745.073	614770366.4229	355215276.6575	246994843.4797	377669710.5474	449718402.6899	371277477.4543	361069779.0544	408683441.2871
sp|P00964|GLN1B_NOSS1	P00964	GLN1B_NOSS1	glnA	474	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamine synthetase 	1:Experimental evidence at protein level	39.24	1	0.999	16	16	16	223	223	223	4198666880	4198666880	4198666880	11C(57.0214), 12K(304.2071), 15M(15.9949), 17C(57.0214), 17K(304.2071), 1C(57.0214), 24K(304.2071), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)	NA	NA	9257125.8418	23545844.6995	30873393.9561	18438952.6257	10539456.0342	9045467.5938	9792355.2419	54872470.2146	124959402.6392	1530159214.1646	1308057207.7153	251151301.7241	65413857.8892	36946211.8962	21980894.834	12719418.287	10974789.2445	19881523.7544
