Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O08393|HEM1_NOSS1	O08393	HEM1_NOSS1	hemA	428	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamyl-tRNA reductase 	3:Protein inferred from homology	14.95	1	0.999	7	7	7	7	7	7	13247748	13247748	13247748	7C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	145400.6108	1318891.6094	3998510.5156	2330818.5312	817346.5156	523261.4805	272384.9824	300570.752	185371.8105	140882.4771	116906.9795	128502.1655	178579.7705	90673.8135	115597.8403	117354.8667	152102.1201	422714.8164
sp|O30461|HYPA_NOSS1	O30461	HYPA_NOSS1	hupA	113	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Hydrogenase maturation factor HypA 	3:Protein inferred from homology	12.39	1	0.999	2	2	2	2	2	2	2608616	2608616	2608616	7K(304.2071), N-term(304.2071)	NA	NA	26605.2793	284537.875	241445.0312	121591.8281	51546.332	30590.3398	12069.3418	14162.9004	9758.8242	8356.4434	9572.499	9456.0127	6203.999	9643.1318	8829.0859	7352.2217	6961.5723	14569.4346
sp|O52749|TSAE_NOSS1	O52749	TSAE_NOSS1	hetY	162	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE 	3:Protein inferred from homology	6.17	1	0.999	1	1	1	1	1	1	     0	     0	     0	N-term(304.2071)	NA	NA	3158.0461	42280.1523	79264.6953	70909.3594	33852.2969	24844.1387	11998.1104	8118.458	2106.4849	2081.7942	2531.6931	4588.2896	4181.8359	3886.1396	2681.2878	4354.4634	3581.8594	10889.4307
sp|O52750|GNGF_NOSS1	O52750	GNGF_NOSS1	alr2298	456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Putative gluconeogenesis factor 	3:Protein inferred from homology	8.33	1	0.999	5	5	5	5	5	5	7742408	7742408	7742408	10K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	36243.9219	66037.7422	115821.4609	148924.5625	146660.1406	118911.0469	70114.7969	46724.0352	50147.3125	44869.2773	44144.707	49129.793	40120.4219	40247.1406	38904.6602	34100.2695	45378.1875	83153.9453
sp|O52751|RUVC_NOSS1	O52751	RUVC_NOSS1	ruvC	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Crossover junction endodeoxyribonuclease RuvC 	3:Protein inferred from homology	5.52	1	0.999	1	1	1	2	2	2	5967226	5967226	5967226	N-term(304.2071)	NA	NA	117622.8008	467389.2031	692467.1875	433597.1406	232272.6406	173658.1719	111024.5469	95179.7266	88452.3047	59654.9707	79599.4277	66827.8574	65023.0947	53960.5635	70333.4609	52418.3359	86446.6543	107329.8281
sp|O86418|RBCX_NOSS1	O86418	RBCX_NOSS1	rbcX	132	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	RuBisCO chaperone RbcX 	1:Experimental evidence at protein level	21.21	1	0.999	3	3	3	3	3	3	3131909	3131909	3131909	8M(15.9949), 9K(304.2071), N-term(304.2071)	NA	NA	65669.2422	459643.0938	332437.7812	92553.7344	41434.8906	25960.5977	15993.3584	12530.8242	20277.248	18742.7012	12774.7129	9555.9971	13159.1885	7551.1333	10660.5615	11299.2744	15040.918	14539.2471
sp|P00457|NIFH1_NOSS1	P00457	NIFH1_NOSS1	nifH	295	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase iron protein 1 	3:Protein inferred from homology	34.24	1	0.999	9	4	9	16	9	16	31202520	18803105	31202520	11M(15.9949), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2M(15.9949), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	269146.6333	2330852.2539	2871330.0938	1540059.2969	733313.1055	497256.6816	329942.2744	146796.2158	127974.8667	84862.9807	110768.2952	126680.6394	157018.3762	184903.2202	126847.4609	172095.0264	195491.9463	491248.6641
sp|P00468|NIFK_NOSS1	P00468	NIFK_NOSS1	nifK	512	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase molybdenum-iron protein beta chain 	3:Protein inferred from homology	20.7	1	0.999	10	10	10	15	15	15	13697320	13697320	13697320	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 2M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	225748.5151	2856809.1641	4710968.5078	2998025.3789	2011737.0117	1489907.9258	514642.9727	196234.3682	130790.916	97890.5356	178055.9819	139021.0835	156687.354	92435.5886	116502.3652	102800.8772	108504.5098	450820.8506
sp|P00879|RBL_NOSS1	P00879	RBL_NOSS1	rbcL	476	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase large chain 	1:Experimental evidence at protein level	49.79	1	0.999	26	26	26	417	417	417	11691365632	11691365632	11691365632	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 2M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	15894504.3843	116419270.719	471218137.5391	503374690.5	249159368.3618	158517675.7734	172614790.6296	323368320.064	3649704497.8647	2053447135.5435	554846227.4954	305784919.5718	242223218.9414	202036596.7456	265669008.8384	337202296.0291	283330290.3499	389464725.7961
sp|P00964|GLN1B_NOSS1	P00964	GLN1B_NOSS1	glnA	474	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamine synthetase 	1:Experimental evidence at protein level	39.45	1	0.999	17	17	17	219	219	219	3861145600	3861145600	3861145600	11C(57.0214), 12K(304.2071), 15M(15.9949), 17C(57.0214), 17K(304.2071), 1C(57.0214), 24K(304.2071), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)	NA	NA	4157637.2637	18528080.8037	27934486.426	20355180.7083	12654198.7051	11493458.6765	10180821.6223	20083111.6794	85517404.5918	503982069.9614	1695024100.6333	373740599.3062	94586228.2668	33917163.7278	20442390.1118	17404315.396	11848328.1338	11975362.2012
