Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|O08393|HEM1_NOSS1	O08393	HEM1_NOSS1	hemA	428	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamyl-tRNA reductase 	3:Protein inferred from homology	12.62	1	0.999	6	6	6	8	8	8	22107081	22107081	22107081	11K(304.2071), 2K(304.2071), 6M(15.9949), 7C(57.0214), N-term(304.2071)	NA	NA	383470.2812	2006304.6562	7529827.1875	4636916.625	2055038.1406	943133.8203	456157.0234	276022.625	260685.291	198160.9238	151714.2734	170822.873	208764.2539	201169.2266	266887.9629	247814.4629	430338.9512	984611.3242
sp|O30461|HYPA_NOSS1	O30461	HYPA_NOSS1	hupA	113	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Hydrogenase maturation factor HypA 	3:Protein inferred from homology	10.62	1	0.999	1	1	1	1	1	1	829308	829308	829308	N-term(304.2071)	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp|O52749|TSAE_NOSS1	O52749	TSAE_NOSS1	hetY	162	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE 	3:Protein inferred from homology	11.73	1	0.999	2	2	2	2	2	2	3751629	3751629	3751629	9K(304.2071), N-term(304.2071)	NA	NA	18339.7266	59940.457	143208.4219	116952.1953	80019.1094	46681.2188	26459.0469	18666.7715	14913.8037	8507.125	7393.8276	11983.7373	11537.2617	14416.6523	10032.8516	39232.7344	10236.0449	20807.7734
sp|O52750|GNGF_NOSS1	O52750	GNGF_NOSS1	alr2298	456	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Putative gluconeogenesis factor 	3:Protein inferred from homology	14.91	1	0.999	7	7	7	8	8	8	70422337	70422337	70422337	10K(304.2071), 11K(304.2071), 2C(57.0214), 7K(304.2071), N-term(304.2071)	NA	NA	303620.6826	724091.9517	1078595.1328	1350684.957	1455412.9023	833002.4219	401465.2666	229993.5776	226636.9121	180014.293	157963.6094	160187.2849	146363.791	166645.5068	179900.5403	197777.9219	201874.3979	369385.4209
sp|O52751|RUVC_NOSS1	O52751	RUVC_NOSS1	ruvC	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Crossover junction endodeoxyribonuclease RuvC 	3:Protein inferred from homology	5.52	1	0.999	1	1	1	1	1	1	7521700	7521700	7521700	N-term(304.2071)	NA	NA	57250.6758	398979.8125	713563.875	421011.4375	212710.9688	98005.7578	62220.2266	105544.6094	39305.5469	37779.3398	34671.2578	34100.6797	27842.6719	30664.0547	21096.6484	30946.623	29494.6328	66652.8594
sp|O86418|RBCX_NOSS1	O86418	RBCX_NOSS1	rbcX	132	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	RuBisCO chaperone RbcX 	1:Experimental evidence at protein level	21.21	1	0.999	3	3	3	3	3	3	1113510	1113510	1113510	8M(15.9949), 9K(304.2071), N-term(304.2071)	NA	NA	8460.6611	41188.832	54382.2617	15568.3828	8073.1152	5044.3364	3004.3271	0	2924.6199	3369.3447	0	0	4165.1113	0	2724.0659	3271.54	0	0
sp|P00457|NIFH1_NOSS1	P00457	NIFH1_NOSS1	nifH	295	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase iron protein 1 	3:Protein inferred from homology	33.9	1	0.999	10	3	10	35	12	35	82557242	71946667	82557242	11M(15.9949), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2M(15.9949), 5M(15.9949), 6C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	2059927.334	11011893.6172	18437744.2656	12105993.8945	7274167.4805	3958480.2637	2130033.2871	1370022.71	1162703.9893	1070881.2554	771656.0742	942317.9497	621535.979	1453103.5391	1051744.6328	1533859.3652	1729556.1265	2479883.7803
sp|P00468|NIFK_NOSS1	P00468	NIFK_NOSS1	nifK	512	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogenase molybdenum-iron protein beta chain 	3:Protein inferred from homology	29.69	1	0.999	14	14	14	27	27	27	37825176	37825176	37825176	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 15K(304.2071), 2M(15.9949), 6M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	876054.2227	4815692.6357	10662434.2539	11710206.832	14890416.9336	12034609.4922	4512640.1074	1364384.6733	702698.6873	440523.8984	301019.8125	320888.0889	332262.1663	343654.48	336234.3457	480314.6021	446568.584	801381.8042
sp|P00879|RBL_NOSS1	P00879	RBL_NOSS1	rbcL	476	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase large chain 	1:Experimental evidence at protein level	54.2	1	0.999	32	32	32	511	511	511	10795843328	10795843328	10795843328	10K(304.2071), 11C(57.0214), 11K(304.2071), 12K(304.2071), 13K(304.2071), 14M(15.9949), 15K(304.2071), 16K(304.2071), 19K(304.2071), 2M(15.9949), 4K(304.2071), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8C(57.0214), 8K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	18203520.4569	45779335.343	107892270.5835	124742851.4453	101433409.4773	57535627.0396	164266147.1335	257333171.7263	4135929059.9211	2414909492.7147	513025430.9604	311896142.1494	206202455.5791	342042364.1313	395828074.8451	258227523.197	329259489.9751	343744679.2085
sp|P00964|GLN1B_NOSS1	P00964	GLN1B_NOSS1	glnA	474	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Glutamine synthetase 	1:Experimental evidence at protein level	48.95	1	0.999	21	21	21	193	193	193	1895228608	1895228608	1895228608	11C(57.0214), 12K(304.2071), 14K(304.2071), 15M(15.9949), 17C(57.0214), 17K(304.2071), 19M(15.9949), 1C(57.0214), 23M(15.9949), 24K(304.2071), 25K(304.2071), 2M(15.9949), 3M(15.9949), 6K(304.2071), 7K(304.2071), 7M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	11100942.2559	32281817.2036	37456070.9395	24301634.7666	17065010.4609	11103430.9617	8475725.7643	23663710.4043	68063710.5127	627869749.7336	1019347663.8528	272569576.76	54046271.4631	31980689.0886	18824351.9878	11103822.667	10887241.9102	19325988.9259
sp|P05514|DBH_NOSS1	P05514	DBH_NOSS1	hanA	94	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	DNA-binding protein HU 	1:Experimental evidence at protein level	62.77	1	0.999	5	5	5	25	25	25	498549518	498549518	498549518	10K(304.2071), 1M(15.9949), 22K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	46936995.7803	90538596.5234	53956068.7305	21688632.9551	7291667.0312	4424445.4724	2035717.1084	929201.8618	685264.8438	598624.9561	406487.3613	493557.7136	229317.9963	645279.3987	269017.8774	449352.3821	378344.1003	618121.6318
sp|P06514|RBS_NOSS1	P06514	RBS_NOSS1	rbcS	109	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase small subunit 	1:Experimental evidence at protein level	61.47	1	0.999	8	8	8	49	49	49	2717430080	2717430080	2717430080	11K(304.2071), 17K(304.2071), 18K(304.2071), 2C(57.0214), 7K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)	NA	NA	3960222.1055	18746273.0273	36181472.9131	43152500.626	57049016.3125	66913560.9619	63032619.168	48937041.7471	62267781.8633	21893976.1733	6226288.5044	3941990.5776	2333435.3401	3209668.9839	2638151.1299	2756625.8713	2122956.8557	4877180.7969
sp|P06540|ATPB_NOSS1	P06540	ATPB_NOSS1	atpB	482	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit beta 	3:Protein inferred from homology	66.18	1	0.999	25	25	25	368	368	368	4980561920	4980561920	4980561920	11K(304.2071), 15M(15.9949), 16K(304.2071), 17K(304.2071), 18K(304.2071), 1M(15.9949), 20M(15.9949), 22K(304.2071), 24K(304.2071), 29K(304.2071), 4K(304.2071), 4M(15.9949), 5K(304.2071), 5M(15.9949), 7K(304.2071), 8M(15.9949), 9M(15.9949), N-term(304.2071)	NA	NA	56453533.3372	857774611.4463	1026051851.5732	370142334.9043	203745470.1143	182454637.167	286005027.8193	573325548.6182	255431814.3074	161170375.46	104025256.9377	94694434.3668	72746767.8857	95493345.7661	84261402.9409	48650414.2168	45461146.0759	54600626.9807
sp|P06542|ATPE_NOSS1	P06542	ATPE_NOSS1	atpE	137	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase epsilon chain 	3:Protein inferred from homology	34.31	1	0.999	5	5	5	33	33	33	1170986464	1170986464	1170986464	11K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	4312123.7769	13782223.165	18011791.832	20774480.4375	30004004.125	10590349.9014	6580418.0674	16687696.3164	6261875.5933	3624424.7593	2362528.978	2576593.4697	1978405.6396	3143919.2363	2743126.6318	1690631.8088	1876993.5044	2437563.6167
